j,base,n,k_human,sil_human,k_gmm,sil_gmm,k_dbscan,sil_dbscan,k_H_s0,sil_H_s0,ari_H_s0,k_H_s1,sil_H_s1,ari_H_s1,k_H_s2,sil_H_s2,ari_H_s2,k_R_gmm,sil_R_gmm,ari_R_gmm,k_R_dbscan,sil_R_dbscan,ari_R_dbscan,k_R_shuffle,sil_R_shuffle,ari_R_shuffle
86,6b397277-e2cf-4165-9f1a-32aeef65ebbc,10,2,0.3924478797701613,8,0.36641621587983275,3,0.9210809893518893,3.0,0.44195700734112914,0.5871559633027523,2.0,0.577077725279484,0.3023255813953488,3.0,0.3604458639935722,0.8192771084337349,6.0,0.3939519001186307,0.25,3.0,0.2952953683987201,0.3161094224924012,2.0,0.06758191120174724,-0.10619469026548665
87,823dc71a-6c2e-42ea-910b-4e53f7bd4a90,20,3,0.1725131826259427,8,0.41181654415281255,1,,3.0,0.3713704362495656,0.4407336125891543,3.0,0.36352501628078376,0.24164671000114038,3.0,0.26836609415328255,0.08165586261799161,11.0,0.17916747784287576,0.09014725248413744,3.0,0.3583148883053003,0.3593346071709565,2.0,0.1956163296582105,0.13989179640057414
90,87cc45a4-3e2e-4c67-a9d6-3ba04eda2588,25,3,-0.32420088310725265,8,0.42427543967368275,4,0.4647149523205244,3.0,0.40391342609640746,-0.029824302377085426,3.0,0.36864766465669846,-0.012519797873142799,3.0,0.38376706610772693,-0.01381461675579317,3.0,-0.06270855451296133,0.343229389149936,2.0,0.24023671052075696,-0.060157790927021636,2.0,0.34244585199062655,-0.09591607343574375
99,e8770f4c-e648-4512-9529-b68de18f7703,30,3,0.29491461041817874,2,0.467277586086515,9,0.6895941852145598,3.0,0.4903603743383569,0.6870708259760644,4.0,0.35201154622400155,0.36441522215580796,4.0,0.2722541713473774,0.26937611880925544,7.0,0.18483806749086643,0.41563675443310044,4.0,0.3697013276527659,0.5516447368421052,2.0,0.22858172993063533,0.0012007077856420753
102,8845809a-0ba9-4c73-8f4e-d60d62ca8418,30,2,0.4238145071473561,1,,2,0.12888205544791959,3.0,0.4161729243783084,0.4838754502795207,3.0,0.30687042275473697,0.5773407219962203,3.0,0.39922115927478985,0.36754329698524696,7.0,0.10824478406775702,0.22241126809097175,4.0,0.3296748063163466,0.3701804999946376,2.0,0.1811449749448174,0.04020142943107795
105,5c9ae3ec-4b16-4a2a-add3-bc06d78c9e14,35,2,0.48960685633852674,1,,3,0.37352842568677297,3.0,0.3547984686812627,0.52908324787087,3.0,0.30994562536402154,0.23753378510713305,3.0,0.29266491059864924,0.2624543535796844,1.0,,0.0,5.0,0.21030648119267278,0.36909104031,2.0,0.27471504535506747,0.11289320607669284
115,823dc71a-6c2e-42ea-910b-4e53f7bd4a90,20,2,0.3957053071698221,8,0.41181654415281255,1,,3.0,0.36864334225392764,0.3155769020849252,3.0,0.2878200693145649,0.314978695509669,3.0,0.23208841146528814,0.209806282149502,9.0,0.30670707474338443,0.06474050294275013,3.0,0.32801732818643287,0.1250959324635457,2.0,0.27698190887728835,0.04422332780541742
121,f54baffc-bc26-4c4d-b940-824d08daf230,15,4,0.5505846140513749,8,0.3224844024675161,3,0.6443316798728668,3.0,0.6443316798728668,0.904891304347826,3.0,0.6443316798728668,0.904891304347826,3.0,0.6443316798728668,0.904891304347826,8.0,0.2149217442279081,0.36247723132969034,3.0,0.13416379325191558,0.1481097876747799,2.0,0.22074786696154916,0.2273730684326711
126,37ce66b3-c54a-46ec-981d-96c33e8fba81,15,2,0.2772478369124037,7,0.42048053002816743,2,0.3468107680518694,3.0,0.2851887420664756,0.1557017543859649,3.0,0.34076348780852034,0.4420010995052226,3.0,0.365031638833176,0.5005488474204172,9.0,0.06761125746329429,0.18060200668896323,3.0,0.11889943569469709,0.055075593952483744,2.0,0.2760108259485679,0.732824427480916
130,6b397277-e2cf-4165-9f1a-32aeef65ebbc,10,4,0.28854359816991015,8,0.36641621587983275,3,0.9210809893518893,3.0,0.24509496703092665,0.17475728155339804,3.0,0.46172462356758925,0.31257344300822565,3.0,0.4223795231533976,0.9471210340775558,6.0,0.32030603743668545,0.11497730711043873,2.0,0.577077725279484,0.3661971830985915,2.0,0.10899660325024056,0.1139896373056995
142,8845809a-0ba9-4c73-8f4e-d60d62ca8418,30,2,0.3520490819203115,1,,2,0.12888205544791959,3.0,0.4161729243783084,0.07202115051508796,3.0,0.30687042275473697,0.1316883836983643,3.0,0.39922115927478985,0.10921501706484639,7.0,0.10824478406775702,0.17364743294698523,4.0,0.3296748063163466,0.09287654429159727,2.0,0.1811449749448174,-0.04729148753224423
153,e8770f4c-e648-4512-9529-b68de18f7703,30,3,0.2172703475741466,2,0.467277586086515,9,0.6895941852145598,3.0,0.4903603743383569,0.37414165195212873,4.0,0.35201154622400155,0.4029355117221226,4.0,0.2722541713473774,0.2886030630511171,7.0,0.18483806749086643,0.11371574422353571,4.0,0.3697013276527659,0.28453947368421056,2.0,0.22858172993063533,0.047017189079878674
156,5c9ae3ec-4b16-4a2a-add3-bc06d78c9e14,35,6,0.12755636788290803,1,,3,0.37352842568677297,3.0,0.37940621225896537,0.5180756413189314,3.0,0.37759882516711096,0.3575649306032706,3.0,0.37759882516711096,0.3575649306032706,1.0,,0.0,4.0,0.15631795781227012,0.49991722592229426,2.0,0.22407879161932293,0.08037094281298303
157,87cc45a4-3e2e-4c67-a9d6-3ba04eda2588,25,2,0.33023325040895474,8,0.42427543967368275,4,0.4647149523205244,3.0,0.3544125357422523,0.24,3.0,0.35251985784181117,0.52,3.0,0.30451110997640557,0.22,8.0,0.27465788093222554,0.26666666666666666,4.0,0.23049416906997386,0.12666666666666668,2.0,0.32581493592369576,0.84
182,f54baffc-bc26-4c4d-b940-824d08daf230,15,4,0.5267091713730466,8,0.3224844024675161,3,0.6443316798728668,3.0,0.6443316798728668,0.8799451177681226,3.0,0.6443316798728668,0.8799451177681226,3.0,0.6443316798728668,0.8799451177681226,8.0,0.2149217442279081,0.37792329279700654,3.0,0.13416379325191558,0.20399724328049618,2.0,0.22074786696154916,0.2849254555494202
