abs_dk,mean_ari,sem_stim,sem_pair,n_stim,n
0,0.4912106480143085,0.05224359096970343,0.0008817763331600834,8,154780
1,0.422111507609405,0.03246238318170561,0.0005257423943462118,8,213221
2,0.35456562390950364,0.02709474618901489,0.0005291717497681429,8,131907
3,0.3192036391062256,0.02176431842663736,0.0006661172628801219,8,66361
4,0.27713958555017143,0.01857274034078573,0.0007565312914756477,8,39827
5,0.24482154453776117,0.03268868001216536,0.0009934909047787106,8,23109
