model,term,beta,se,p
n_clusters,n_points,0.0817789869522434,0.00376641116817942,5.91127597296332e-33
n_clusters,n_points:visibilityfunnel,-0.0125692624129703,0.00216528446730286,6.52577436809502e-09
n_clusters,n_points:formatanchor,-0.0458838933322529,0.0020674455618251,5.52438981798855e-108
numerosity,n_points,0.151306161003483,0.00454361647952049,2.02526920089265e-43
numerosity,n_points:visibilityfunnel,-0.00446808322956527,0.00256613925698419,0.0816570931101401
numerosity,n_points:formatanchor,0.10118632132956,0.00248426510595647,0
