pairwise_human_human_ARI
3.873012342933392360e-01
1.852735952993022350e-01
5.934379457917261513e-01
1.647189760712298445e-01
1.611004188837314166e-01
2.126777914660095969e-01
5.450758014118738115e-02
4.014205521823805412e-01
2.172449808518045478e-01
3.873012342933392360e-01
1.398917964005741421e-01
1.285403050108932244e-01
1.573948439620081186e-01
2.839195979899497568e-01
6.664845670581809323e-02
1.295665452836838039e-01
6.489641753462284390e-02
-5.521406233150007864e-02
2.937623417353931732e-01
1.953759871809545301e-01
3.873012342933392360e-01
3.143544506816359219e-01
1.611004188837314166e-01
-9.998917866031818702e-02
8.663826067955865406e-02
2.941111234335144764e-01
9.998858577787926583e-02
2.321658662293545616e-01
4.933333333333334014e-01
9.893144435106254742e-02
3.873012342933392360e-01
3.391304347826087362e-01
7.974010632014175148e-02
3.973288814691152138e-01
5.325443786982253513e-02
2.941111234335144764e-01
3.903252710592160502e-01
6.853293065396684480e-03
1.424030514939605974e-01
1.730833612320053505e-01
4.084287779383965478e-01
2.770083102493074434e-01
1.766449994298095461e-01
1.044693356992348054e-01
3.720333547145607961e-02
2.537830657271571977e-01
3.493053586617522188e-01
5.934379457917261513e-01
2.592592592592592449e-01
2.275525612730863179e-01
2.761287387694757456e-01
2.642920747996438391e-01
9.998858577787926583e-02
-5.521406233150007864e-02
2.704507512520868406e-01
3.973288814691152138e-01
4.014205521823805412e-01
2.592592592592592449e-01
1.526476233487636669e-01
-7.033800147414967507e-02
1.000000000000000000e+00
5.018450184501844769e-01
2.131557035803496869e-01
1.000000000000000000e+00
2.131557035803496869e-01
1.000000000000000000e+00
1.000000000000000000e+00
9.521785334750265672e-01
5.161290322580645018e-01
3.989314336598397404e-01
2.131557035803496869e-01
1.000000000000000000e+00
1.000000000000000000e+00
1.000000000000000000e+00
1.290322580645161255e-01
3.661971830985915055e-01
7.582938388625592996e-02
3.661971830985915055e-01
2.131557035803496869e-01
9.569377990430619207e-02
3.989314336598397404e-01
1.000000000000000000e+00
1.000000000000000000e+00
3.661971830985915055e-01
7.582938388625592996e-02
5.921450151057401357e-01
2.088772845953002291e-02
7.582938388625592996e-02
3.023255813953488191e-01
7.582938388625592996e-02
0.000000000000000000e+00
3.661971830985915055e-01
2.131557035803496869e-01
1.980198019801981263e-02
1.564792176039119798e-01
1.000000000000000000e+00
1.000000000000000000e+00
3.989314336598397404e-01
5.063291139240505556e-02
1.000000000000000000e+00
2.222222222222222099e-01
3.023255813953488191e-01
1.000000000000000000e+00
3.989314336598397404e-01
3.989314336598397404e-01
2.780748663101604290e-01
7.582938388625592996e-02
-1.111111111111111049e-01
3.989314336598397404e-01
3.989314336598397404e-01
2.131557035803496869e-01
2.131557035803496869e-01
-1.329305135951661665e-01
1.000000000000000000e+00
1.000000000000000000e+00
-1.329305135951661665e-01
1.000000000000000000e+00
3.989314336598397404e-01
1.021548284118116434e-01
1.290322580645161255e-01
9.638554216867464830e-02
4.752623688155921955e-01
1.931034482758620663e-01
2.130750605326876823e-01
1.558441558441558406e-01
5.403377110694184138e-01
4.306371441482150786e-01
1.954604597368801155e-01
2.145015105740181449e-01
4.948088123575588582e-01
3.537597002943537738e-01
5.697399527186761681e-01
4.227886056971514317e-01
2.076136173067248125e-01
2.796610169491525189e-01
5.001445504481064619e-01
8.142664872139972199e-02
3.101182654402102612e-01
1.889483065953654062e-01
2.663206228788181362e-01
9.166206515737163052e-02
4.824902723735408627e-01
3.101182654402102612e-01
1.257750221434898452e-01
3.517036359478618590e-01
5.223441263045223160e-01
1.659311562224183301e-01
1.615782057303898622e-01
3.508846727776593899e-01
3.920942303853064415e-01
4.462474645030426457e-01
