j,base,sid,rt,n,ari_H,ari_H0,ari_H1,ari_H2,ari_Rgmm,ari_Rdbscan,ari_Rshuffle,ari_gmm_ref,ari_dbscan_ref,single_within,consensus,sil_human,sil_gmm,sil_dbscan,k_human,k_gmm,k_dbscan
285,823dc71a-6c2e-42ea-910b-4e53f7bd4a90,exp1/clustering_data_1526_1778921090612.json,lasso,20,0.3908890007873497,0.48226003781559335,0.3978650061158679,0.29254195843058795,0.09726103968697596,0.2506388179091212,0.11529933481152992,0.2038216560509554,0.0,0.38154677624873673,0.5238890745071834,0.44963629344608363,0.41181654415281255,nan,2.0,8.0,1.0
294,e8770f4c-e648-4512-9529-b68de18f7703,exp1/clustering_data_1526_1778921090612.json,lasso,30,0.4468853403599528,0.32474386836386215,0.5355989934165375,0.4803131592994586,0.0,0.4445651878616642,0.24888192962323444,0.5008097296253794,0.39125431530494825,0.5782913987004257,1.0,0.506147321123074,0.467277586086515,0.6895941852145598,4.0,2.0,9.0
306,f54baffc-bc26-4c4d-b940-824d08daf230,exp1/clustering_data_1526_1778921090612.json,lasso,15,0.940094137783483,0.8202824133504493,1.0,1.0,0.5692307692307693,0.4890510948905109,0.30616740088105726,0.3657331136738057,1.0,0.7531928784107167,1.0,0.6443316798728668,0.3224844024675161,0.6443316798728668,3.0,8.0,3.0
315,5c9ae3ec-4b16-4a2a-add3-bc06d78c9e14,exp1/clustering_data_1526_1778921090612.json,lasso,35,0.541974868835844,0.7488885420099323,0.4385180322487999,0.4385180322487999,0.0,0.7158945333426503,0.08220730195590116,0.0,0.6610169491525424,0.4574493224714994,0.8132910289041526,0.46284473112120983,nan,0.37352842568677297,3.0,1.0,3.0
317,6b397277-e2cf-4165-9f1a-32aeef65ebbc,exp1/clustering_data_1526_1778921090612.json,lasso,10,0.3892035888264478,0.3697478991596639,0.39893143365983974,0.39893143365983974,0.10215482841181164,1.0,0.09569377990430619,0.05003909304143862,0.0,0.4573278422963561,0.39893143365983974,0.577077725279484,0.36641621587983275,0.9210809893518893,2.0,8.0,3.0
322,87cc45a4-3e2e-4c67-a9d6-3ba04eda2588,exp1/clustering_data_1526_1778921090612.json,lasso,25,0.32666666666666666,0.24,0.52,0.22,0.26666666666666666,0.12666666666666668,0.84,0.23333333333333334,0.6843501326259946,0.49272050619995755,0.6866666666666666,0.33023325040895474,0.42427543967368275,0.4647149523205244,2.0,8.0,4.0
330,8845809a-0ba9-4c73-8f4e-d60d62ca8418,exp1/clustering_data_1526_1778921090612.json,lasso,30,0.14989324658419945,0.23141924332629152,0.08657211272794248,0.1316883836983643,0.05729146144450137,0.14691079486289482,-0.022884736510602487,0.0,-0.1038062283737025,0.16939384690750184,0.0685719341709432,0.3520490819203115,nan,0.12888205544791959,2.0,1.0,2.0
337,f54baffc-bc26-4c4d-b940-824d08daf230,exp1/clustering_data_157_1779023262276.json,lasso,15,1.0,1.0,1.0,1.0,0.3657331136738057,0.10506174986954255,0.30616740088105726,0.3657331136738057,1.0,0.7846776159254379,1.0,0.6443316798728668,0.3224844024675161,0.6443316798728668,3.0,8.0,3.0
349,823dc71a-6c2e-42ea-910b-4e53f7bd4a90,exp1/clustering_data_157_1779023262276.json,lasso,20,0.271386024285574,0.46417126009485965,0.17947415216562937,0.17051266059623302,0.19609438567941415,0.32483764244577873,0.044092707744488445,0.3655589123867069,0.0,0.41902363977614154,0.6905957389062288,0.2064914790191911,0.41181654415281255,nan,4.0,8.0,1.0
351,6b397277-e2cf-4165-9f1a-32aeef65ebbc,exp1/clustering_data_157_1779023262276.json,lasso,10,0.3892035888264478,0.3697478991596639,0.39893143365983974,0.39893143365983974,0.10215482841181164,1.0,0.09569377990430619,0.05003909304143862,0.0,0.40575155989082407,0.39893143365983974,0.577077725279484,0.36641621587983275,0.9210809893518893,2.0,8.0,3.0
