metric,mean,median,sd,n
single_other_pooled,0.38298910118167806,0.3785057445548518,0.1547364327301947,3295
single_other_within_format,0.39248942663792097,0.3869753673998077,0.15711755004894198,3295
consensus_of_others,0.5172158826753286,0.5109862033725089,0.26293249510487215,3295
model_H_vs_individual,0.441784482691628,,,3295
