contrast,cluster,logloss_difference,ci_lo,ci_hi,n_clusters
silhouette_current_minus_process,person_hash,-0.004115974948822857,-0.0081657928763501,2.4614191958831235e-05,131
silhouette_current_minus_process,base_uuid,-0.004767220551690764,-0.006585388905951619,-0.002885240379506272,56
silhouette_full_minus_process,person_hash,-0.0040242635126454835,-0.008084225342036889,0.00014856211145865836,131
silhouette_full_minus_process,base_uuid,-0.0047718641718745725,-0.006646593533399106,-0.0028761969131573927,56
compactness_current_minus_process,person_hash,-0.004410107791256943,-0.0191552541794444,0.011226130732479331,131
compactness_current_minus_process,base_uuid,-0.015940533312858662,-0.021632367575199755,-0.01194046772005306,56
compactness_full_minus_process,person_hash,-0.0043126624402666045,-0.018866330395595595,0.012184884706492954,131
compactness_full_minus_process,base_uuid,-0.01595778298497653,-0.021378474785229664,-0.011868561728737643,56
