condition,repeats,folds,n_participants,observed_mean_slope,generated_mean_slope,slope_difference,difference_ci95_lo,difference_ci95_hi,difference_p,BF10,BF01,equivalence_margin,tost_p_lower,tost_p_upper,tost_p,equivalent_05,difference_ci90_lo,difference_ci90_hi,bootstrap_ci_lo,bootstrap_ci_hi,bootstrap_rope_probability,k_bias,k_mae,k_rmse,n_k_units,k_bias_ci_lo,k_bias_ci_hi,k_mae_ci_lo,k_mae_ci_hi,k_rmse_ci_lo,k_rmse_ci_hi
exp3,20,5,64,0.030929129464285717,0.037512497443181775,-0.006583367978896058,-0.017991398753414302,0.004824662795622188,0.2531823812381444,0.25780843909450224,3.8788489760548144,0.01,0.2758293575856641,0.0025308502504069433,0.2758293575856641,False,-0.016113571422728144,0.0029468354649360307,-0.01692767592380272,0.005470953190949727,0.7365,-1.077251123046875,1.561896435546875,1.8161363928760104,64,-1.40291462890625,-0.7162212194824222,1.368664150390625,1.7494065026855465,1.5902121387570423,2.051317204036558
exp4,20,5,73,0.028791097872779694,0.028434296388542914,0.00035680148423678046,-0.007124059064833008,0.00783766203330657,0.9245164100778138,0.12927393005691448,7.735511711910803,0.01,0.003664642662400768,0.006124897866260901,0.006124897866260901,True,-0.00589629036204547,0.006609893330519031,-0.006727046678205705,0.00870946502903181,0.987,-0.7938388728877538,1.108527688291294,1.3673967995716068,73,-1.0263516254545504,-0.5473117984378226,0.9494629446556321,1.2708221585034953,1.1967406565104952,1.5235897543516592
