model,log_loss,auc
process,0.5550080292333616,0.6524085803902191
silhouette_current,0.5502094896657512,0.6686817660824245
silhouette_full,0.550213500793769,0.6684763525215517
compactness_current,0.538858622862582,0.6918826910955145
compactness_full,0.5388560074323026,0.6917725873429934
