outcome,contrast,group1,group2,sampling_unit,n1,n2,mean_difference,ci_low,ci_high,t,df,p_two_sided,cohen_d,bf10,bf01
k,funnel minus full within lasso,exp2,exp1,participant slope,71,67,-0.021947788863030615,-0.056238179355730375,0.012342601629669145,-1.2657507180216783,136,0.2077663970565921,-0.21558629548679983,0.37887677162767336,2.6393805978232727
k,funnel minus full within anchor,exp4,exp3,participant slope,73,67,-0.004031396796729845,-0.01742925000927631,0.00936645641581662,-0.5949680921991817,138,0.5528391271429683,-0.10066044866662098,0.21336098127518446,4.686892579999152
k,anchor minus lasso under full view,exp3,exp1,participant slope,67,67,-0.051961855283696845,-0.0845668056111277,-0.019356904956265998,-3.1524564438142684,132,0.0020042397709924683,-0.5446615169663291,15.46583536378553,0.06465864768880047
k,anchor minus lasso under funnel view,exp4,exp2,participant slope,73,71,-0.03404546321739607,-0.05216655883280464,-0.015924367601987503,-3.7139832711775864,142,0.00029243117355198697,-0.619056923165039,82.04158462453688,0.012188940579055093
mean_size,funnel minus full within lasso,exp2,exp1,participant slope,71,67,-0.03439556426354254,-0.07684600565051106,0.008054877123425987,-1.6023230042439403,136,0.11140431690242583,-0.2729122533686089,0.5866683234318378,1.7045406408689205
mean_size,funnel minus full within anchor,exp4,exp3,participant slope,73,67,-0.0335872624464717,-0.07613881936633071,0.00896429447338732,-1.5607469575556472,138,0.12087384116084063,-0.2640569991273074,0.5500960202218784,1.817864451367336
mean_size,anchor minus lasso under full view,exp3,exp1,participant slope,67,67,0.08011085689225336,0.031167323371441034,0.12905439041306568,3.2377554672315663,132,0.001523724847625089,0.5593989435789548,19.58798987106428,0.05105169068303519
mean_size,anchor minus lasso under funnel view,exp4,exp2,participant slope,73,71,0.0809191587093242,0.04501775456882571,0.1168205628498227,4.455588475177111,142,1.683880033626922e-05,0.7426697136032583,1062.4618773086033,0.0009412102413812438
