experiment,outcome,estimator,n_trials,n_participants,n_stimuli,slope,se,ci_low,ci_high,p_two_sided,participant_slope_bf10,participant_slope_bf01,fit_status
exp1,k,crossed mixed model,7498,67,56,0.0848470422342973,0.0029994169376823645,0.07896818503643986,0.09072589943215474,4.876423079073661e-176,22042.653373846508,4.536658917780265e-05,converged
exp1,mean_size,crossed mixed model,7498,67,56,0.23098811495529786,0.0036346264995975918,0.2238642470160866,0.23811198289450913,0.0,7.138674238626513e+16,1.4008203296196367e-17,converged
exp2,k,crossed mixed model,3976,71,56,0.0629805029904673,0.002496103794966533,0.05808813955233289,0.0678728664286017,1.8068036307566474e-140,48033944.98370803,2.0818610679159836e-08,converged
exp2,mean_size,crossed mixed model,3976,71,56,0.19624787389014278,0.0032585666089942652,0.18986108333651402,0.20263466444377154,0.0,5.612115645014739e+21,1.781859218970841e-22,converged
exp3,k,crossed mixed model,7504,67,56,0.03282249466950956,0.0012335819353876312,0.0304046740761498,0.03524031526286932,5.563050101968388e-156,43247.33197761339,2.3122813692128833e-05,converged
exp3,mean_size,crossed mixed model,7504,67,56,0.3112526752425386,0.003015387699409666,0.30534251535169565,0.3171628351333815,0.0,1.168184230726673e+24,8.560293605212823e-25,converged
exp4,k,crossed mixed model,4088,73,56,0.029214950736044028,0.001259737000311098,0.026745866215434275,0.03168403525665378,5.57218271484137e-119,170923450.58729738,5.850572268252099e-09,converged
exp4,mean_size,crossed mixed model,4088,73,56,0.2772015818024849,0.0033131928189001976,0.2707077238774405,0.28369543972752925,0.0,1.2391147480979163e+29,8.070277603708893e-30,converged
