contrast,logloss_difference,ci_low,ci_high
linear_quality_minus_process,-0.004771864171874556,-0.0066822817997967444,-0.002879771662775874
threshold_minus_process,-0.005166483673774367,-0.0074355548316304195,-0.002885574988798333
threshold_minus_linear_quality,-0.0003946195018998114,-0.0012265971582866824,0.0003682439023680662
