experiment,metric,estimand,sampling_unit,n,mean_difference,sd_difference,ci_low,ci_high,t,df,p_two_sided,cohen_dz,bf10,bf01
exp1,FM,internal minus interparticipant agreement,participant,67,0.11463883705518767,0.06440656097524132,0.09892884243746844,0.1303488316729069,14.569312635938308,66,2.6617797774052895e-22,1.7799248293858798,1.648680825681568e+19,6.065455389684647e-20
exp1,ARI,internal minus interparticipant agreement,participant,67,0.14445931004185386,0.10925735500796632,0.11780934716336378,0.17110927292034395,10.822616141381546,66,2.8708019916035646e-16,1.3221930004741635,22036269522380.18,4.537973176378123e-14
exp2,FM,internal minus interparticipant agreement,participant,71,0.06400715601417309,0.07519696852417247,0.04620832395510753,0.08180598807323865,7.17228225705823,70,6.054382133002632e-10,0.8511933030065918,17342029.449076723,5.766337803406505e-08
exp2,ARI,internal minus interparticipant agreement,participant,71,0.09499798885701101,0.10347256787364159,0.07050643162473791,0.11948954608928411,7.736033798225889,70,5.5930023082624656e-11,0.9180983018902212,170278868.60659558,5.872719311462855e-09
exp3,FM,internal minus interparticipant agreement,participant,67,0.08361036106892812,0.061289191331689995,0.0686607526537956,0.09855996948406064,11.166411007595457,66,7.47612267813516e-17,1.3641942282520672,81354689890857.23,1.2291854364408088e-14
exp3,ARI,internal minus interparticipant agreement,participant,67,0.13439614544684644,0.08744797159711608,0.11306590917403465,0.15572638171965825,12.579821367733093,66,3.4217528010953187e-19,1.5368697865975276,1.5327507092809596e+16,6.524218152011931e-17
exp4,FM,internal minus interparticipant agreement,participant,73,0.05804204218129875,0.06263330555908009,0.043428610772159496,0.072655473590438,7.9176952478600455,72,2.1839356628005795e-11,0.9266961349588911,418990128.0974126,2.3866910768062445e-09
exp4,ARI,internal minus interparticipant agreement,participant,73,0.08858663813067612,0.0947456864633585,0.06648083390902139,0.11069244235233085,7.988591314563956,72,1.610400920878205e-11,0.9349938919376103,561698010.0200621,1.7803160811701702e-09
