exp,sid,person_hash,base_uuid,flipped,unique_uuid,n_points,event_index,total_events,event_progress,action,k,revisions_so_far,elapsed_s,silhouette,delta_silhouette,compactness,confidence,stop,post_action_s
exp3,exp3_P001,person_061,fccbc907-4526-43e2-8ded-142b804b471a,0,trial_00086,10,29,33,0.8787878787878788,add,3,13,28.464700000047685,0.5339014193383897,0.008985203549308,0.8044761754913972,,0,
exp3,exp3_P001,person_061,fccbc907-4526-43e2-8ded-142b804b471a,0,trial_00086,10,30,33,0.9090909090909092,add,4,13,30.002200000047683,0.5339014193383897,0.0,0.8044761754913972,,0,
exp3,exp3_P001,person_061,fccbc907-4526-43e2-8ded-142b804b471a,0,trial_00086,10,31,33,0.9393939393939394,delete,3,14,30.73040000009537,0.5339014193383897,0.0,0.8044761754913972,,0,
exp3,exp3_P001,person_061,fccbc907-4526-43e2-8ded-142b804b471a,0,trial_00086,10,32,33,0.9696969696969696,delete,2,15,31.240400000095367,0.5249162157890817,-0.008985203549308,0.6488623628162984,,0,
exp3,exp3_P001,person_061,fccbc907-4526-43e2-8ded-142b804b471a,0,trial_00086,10,33,33,1.0,add,3,15,32.04629999995232,0.5339014193383897,0.008985203549308,0.8044761754913972,,1,3.132200000047684
exp3,exp3_P001,person_061,37ce66b3-c54a-46ec-981d-96c33e8fba81,0,trial_00005,15,2,4,0.5,add,2,0,2.948700000047684,0.3468107680518694,,0.3132943156783601,,0,
exp3,exp3_P001,person_061,37ce66b3-c54a-46ec-981d-96c33e8fba81,0,trial_00005,15,4,4,1.0,add,2,1,5.893399999856949,0.3468107680518694,0.0,0.3132943156783601,,1,2.705600000143052
exp3,exp3_P001,person_061,f0443691-d86e-42b0-bb33-d31e77ba24d3,0,trial_00055,15,2,2,1.0,add,2,0,8.415700000047684,0.3874233417359276,,0.5076243119424859,,1,2.681700000047684
exp3,exp3_P001,person_061,4fbeab87-3c1b-44f6-91c7-47cb4e50c315,0,trial_00035,15,2,2,1.0,add,2,0,3.4452999999523164,0.580414639215993,,0.7009513112959556,,1,1.3325
exp3,exp3_P001,person_061,9960e442-6168-430d-b694-abfb5f4339fa,0,trial_00058,15,2,2,1.0,add,2,0,1.7542000000476836,0.5048096952100042,,0.5979979654824347,,1,1.4575
exp3,exp3_P001,person_061,3c4d6c38-877b-41d2-b2b5-d2f74ef0970b,0,trial_00107,15,2,2,1.0,add,2,0,2.3332999999523163,0.5193502863687299,,0.5468895381911021,,1,1.381300000190735
exp3,exp3_P001,person_061,bf683b51-fa65-450e-8155-5f0af307bf63,0,trial_00008,10,2,7,0.2857142857142857,add,2,0,4.639899999856949,0.2284898962642609,,0.244051196131696,,0,
exp3,exp3_P001,person_061,bf683b51-fa65-450e-8155-5f0af307bf63,0,trial_00008,10,3,7,0.4285714285714285,add,3,0,6.1782999999523165,0.2887624798716169,0.060272583607356,0.6024301416917295,,0,
exp3,exp3_P001,person_061,bf683b51-fa65-450e-8155-5f0af307bf63,0,trial_00008,10,4,7,0.5714285714285714,delete,2,1,7.651399999856949,0.2284898962642609,-0.060272583607356,0.244051196131696,,0,
exp3,exp3_P001,person_061,bf683b51-fa65-450e-8155-5f0af307bf63,0,trial_00008,10,5,7,0.7142857142857143,add,3,1,8.520599999904633,0.1404370827700584,-0.0880528134942024,0.4993102825354848,,0,
exp3,exp3_P001,person_061,bf683b51-fa65-450e-8155-5f0af307bf63,0,trial_00008,10,6,7,0.8571428571428571,delete,2,2,9.278799999952316,0.2284898962642609,0.0880528134942024,0.244051196131696,,0,
exp3,exp3_P001,person_061,bf683b51-fa65-450e-8155-5f0af307bf63,0,trial_00008,10,7,7,1.0,add,3,2,11.427700000047684,0.1404370827700584,-0.0880528134942024,0.4993102825354848,,1,6.964799999952317
exp3,exp3_P001,person_061,7b7e1f1a-5fe8-4707-8e7e-b29230c53f78,0,trial_00042,15,2,12,0.1666666666666666,add,2,0,7.384399999856948,0.319516599806138,,0.2934581139956045,,0,
exp3,exp3_P001,person_061,7b7e1f1a-5fe8-4707-8e7e-b29230c53f78,0,trial_00042,15,3,12,0.25,add,3,0,9.951799999952316,0.319516599806138,0.0,0.2934581139956045,,0,
exp3,exp3_P001,person_061,7b7e1f1a-5fe8-4707-8e7e-b29230c53f78,0,trial_00042,15,4,12,0.3333333333333333,delete,2,1,10.284799999952316,0.319516599806138,0.0,0.2934581139956045,,0,
exp3,exp3_P001,person_061,7b7e1f1a-5fe8-4707-8e7e-b29230c53f78,0,trial_00042,15,8,12,0.6666666666666666,add,2,3,14.0145,0.319516599806138,0.0,0.2934581139956045,,0,
exp3,exp3_P001,person_061,7b7e1f1a-5fe8-4707-8e7e-b29230c53f78,0,trial_00042,15,9,12,0.75,add,3,3,18.491599999904636,0.2784895978705226,-0.0410270019356154,0.5894482718013168,,0,
exp3,exp3_P001,person_061,7b7e1f1a-5fe8-4707-8e7e-b29230c53f78,0,trial_00042,15,10,12,0.8333333333333334,delete,2,4,20.02979999995232,0.319516599806138,0.0410270019356154,0.2934581139956045,,0,
exp3,exp3_P001,person_061,7b7e1f1a-5fe8-4707-8e7e-b29230c53f78,0,trial_00042,15,11,12,0.9166666666666666,add,3,4,21.0515,0.2848151607998236,-0.0347014390063144,0.5889784429459295,,0,
exp3,exp3_P001,person_061,7b7e1f1a-5fe8-4707-8e7e-b29230c53f78,0,trial_00042,15,12,12,1.0,delete,2,5,23.482,0.319516599806138,0.0347014390063144,0.2934581139956045,,1,1.9967999999523165
exp3,exp3_P001,person_061,2bb1495b-1ef6-4943-bb48-662371f50b30,0,trial_00112,25,2,6,0.3333333333333333,add,2,0,4.813799999952316,0.1865051767388612,,0.1852658305546931,,0,
exp3,exp3_P001,person_061,2bb1495b-1ef6-4943-bb48-662371f50b30,0,trial_00112,25,6,6,1.0,add,2,2,10.628099999904633,0.1647810298892101,-0.021724146849651,0.1782578905946115,,1,1.5864000000953675
exp3,exp3_P001,person_061,be66f0f4-0431-458a-8aa4-16bc76354c9f,0,trial_00080,25,2,8,0.25,add,2,0,3.991299999952316,0.2423359360578732,,0.226518101838686,,0,
exp3,exp3_P001,person_061,be66f0f4-0431-458a-8aa4-16bc76354c9f,0,trial_00080,25,4,8,0.5,add,2,1,6.1575,0.3416497961303187,0.0993138600724455,0.4176485947546171,,0,
exp3,exp3_P001,person_061,be66f0f4-0431-458a-8aa4-16bc76354c9f,0,trial_00080,25,6,8,0.75,add,2,2,7.977299999952316,0.2557573934900076,-0.0858924026403111,0.240562985749959,,0,
exp3,exp3_P001,person_061,be66f0f4-0431-458a-8aa4-16bc76354c9f,0,trial_00080,25,8,8,1.0,add,2,3,10.463,0.2601074907807681,0.0043500972907604,0.2388182521207927,,1,1.836299999952316
exp3,exp3_P001,person_061,f54baffc-bc26-4c4d-b940-824d08daf230,0,trial_00027,15,2,11,0.1818181818181818,add,2,0,2.601700000047684,0.4994931121380126,,0.5926512243605163,,0,
exp3,exp3_P001,person_061,f54baffc-bc26-4c4d-b940-824d08daf230,0,trial_00027,15,3,11,0.2727272727272727,add,3,0,5.135599999904633,0.6443316798728668,0.1448385677348541,0.8931877786631919,,0,
exp3,exp3_P001,person_061,f54baffc-bc26-4c4d-b940-824d08daf230,0,trial_00027,15,4,11,0.3636363636363636,delete,2,1,7.1605,0.4994931121380126,-0.1448385677348541,0.5926512243605163,,0,
exp3,exp3_P001,person_061,f54baffc-bc26-4c4d-b940-824d08daf230,0,trial_00027,15,5,11,0.4545454545454545,add,3,1,7.940900000095367,0.6443316798728668,0.1448385677348541,0.8931877786631919,,0,
exp3,exp3_P001,person_061,f54baffc-bc26-4c4d-b940-824d08daf230,0,trial_00027,15,6,11,0.5454545454545454,delete,2,2,8.908200000047684,0.4994931121380126,-0.1448385677348541,0.5926512243605163,,0,
exp3,exp3_P001,person_061,f54baffc-bc26-4c4d-b940-824d08daf230,0,trial_00027,15,7,11,0.6363636363636364,add,3,2,9.311,0.6443316798728668,0.1448385677348541,0.8931877786631919,,0,
exp3,exp3_P001,person_061,f54baffc-bc26-4c4d-b940-824d08daf230,0,trial_00027,15,8,11,0.7272727272727273,delete,2,3,9.875099999904632,0.4994931121380126,-0.1448385677348541,0.5926512243605163,,0,
exp3,exp3_P001,person_061,f54baffc-bc26-4c4d-b940-824d08daf230,0,trial_00027,15,9,11,0.8181818181818182,add,3,3,10.427900000095368,0.6443316798728668,0.1448385677348541,0.8931877786631919,,0,
exp3,exp3_P001,person_061,f54baffc-bc26-4c4d-b940-824d08daf230,0,trial_00027,15,10,11,0.9090909090909092,delete,2,4,12.577200000047684,0.4994931121380126,-0.1448385677348541,0.5926512243605163,,0,
exp3,exp3_P001,person_061,f54baffc-bc26-4c4d-b940-824d08daf230,0,trial_00027,15,11,11,1.0,add,3,4,12.978900000095368,0.6443316798728668,0.1448385677348541,0.8931877786631919,,1,1.9423999998569488
exp3,exp3_P001,person_061,cf70fe68-3e60-4947-ad2d-362b96f50a15,0,trial_00022,10,2,10,0.2,add,2,0,6.3830999999046325,0.4281546351200157,,0.5470085171005179,,0,
exp3,exp3_P001,person_061,cf70fe68-3e60-4947-ad2d-362b96f50a15,0,trial_00022,10,4,10,0.4,add,2,1,8.243699999809266,0.1838384119802934,-0.2443162231397222,0.2723194575380744,,0,
exp3,exp3_P001,person_061,cf70fe68-3e60-4947-ad2d-362b96f50a15,0,trial_00022,10,6,10,0.6,add,2,2,10.508699999809265,0.3132205313948674,0.1293821194145739,0.4928520757078471,,0,
exp3,exp3_P001,person_061,cf70fe68-3e60-4947-ad2d-362b96f50a15,0,trial_00022,10,8,10,0.8,add,2,3,11.968299999952317,0.1982155050878957,-0.1150050263069716,0.306512371801918,,0,
exp3,exp3_P001,person_061,cf70fe68-3e60-4947-ad2d-362b96f50a15,0,trial_00022,10,10,10,1.0,add,2,4,14.81589999985695,0.1838384119802934,-0.0143770931076022,0.2723194575380744,,1,2.520299999952316
exp3,exp3_P001,person_061,3088609a-8abd-42eb-9289-926728077ed5,0,trial_00048,10,2,6,0.3333333333333333,add,2,0,3.050799999952316,0.4181997673924849,,0.59805906369376,,0,
exp3,exp3_P001,person_061,3088609a-8abd-42eb-9289-926728077ed5,0,trial_00048,10,4,6,0.6666666666666666,add,2,1,6.2273999998569485,0.0394080602050152,-0.3787917071874697,0.1067547089305137,,0,
exp3,exp3_P001,person_061,3088609a-8abd-42eb-9289-926728077ed5,0,trial_00048,10,6,6,1.0,add,2,2,7.813699999809265,0.4181997673924849,0.3787917071874697,0.59805906369376,,1,1.825700000047684
exp3,exp3_P001,person_061,839dbbc1-445d-4298-95c3-38299943cfb6,0,trial_00059,10,2,2,1.0,add,2,0,3.745700000047684,0.4029537775213728,,0.5585992379216738,,1,1.6995999999046325
