scope,experiment,response_format,visibility,estimator,n_trials,n_stimuli,k_mean,cluster_size_mean,slope_k_vs_n,slope_size_vs_n,slope_k_ci_lo,slope_k_ci_hi,slope_size_ci_lo,slope_size_ci_hi
all,exp1,lasso,full,stimulus-equal OLS after participant averaging,7498,56,5.10605671962422,6.723147040286607,0.08495283718357725,0.23079973344753948,0.05310785189219975,0.11826945143152374,0.19300984101309604,0.27065368334216294
all,exp2,lasso,funnel,stimulus-equal OLS after participant averaging,3976,56,4.733464324081124,5.550474939911794,0.06328094561089925,0.18328383402039175,0.04344325665037824,0.08239128018625691,0.1594276172034607,0.211704617296036
all,exp3,voronoi,full,stimulus-equal OLS after participant averaging,7504,56,3.2947761194029854,8.80844575157126,0.03282249466950955,0.31125267524253847,0.021481279262524144,0.04608547612194271,0.2780709368600995,0.3443047076449606
all,exp4,voronoi,funnel,stimulus-equal OLS after participant averaging,4088,56,3.4662034998222464,7.95046372048367,0.029627428697659886,0.27721942687506407,0.020320750416438785,0.0403237881231601,0.24755246486145296,0.3080417940034786
model_test,exp1,lasso,full,stimulus-equal OLS after participant averaging,1071,8,4.539578891257996,6.640166648443894,0.08803547199069593,0.24185817178996824,0.052539874158618736,0.13131364814468768,0.19579229831131822,0.29008247206900556
model_test,exp2,lasso,funnel,stimulus-equal OLS after participant averaging,551,8,4.520093542357479,5.168901426875,0.09643960183355509,0.14967322698371335,0.057018808835638195,0.14533514177755688,0.10479158676918855,0.19378539603470538
model_test,exp3,voronoi,full,stimulus-equal OLS after participant averaging,1072,8,3.1679104477611943,8.174779838517074,0.035685210312075985,0.3170619439436835,0.018290953108000052,0.05417147530066197,0.2761512734706083,0.3570584123482319
model_test,exp4,voronoi,funnel,stimulus-equal OLS after participant averaging,594,8,3.333566014635789,7.330944579288218,0.0271405718174949,0.2816031048039173,0.01147762318242733,0.044685455195125484,0.23101333879144462,0.32335860465056837
