condition,person_hash,n_mid,observed_k,predicted_k,n_oos_predictions
exp4,person_118,40.0,4.166666666666667,4.6316749999999995,20
exp4,person_121,12.5,4.2,3.8875374999999996,20
exp4,person_121,22.5,4.470588235294118,4.2695625,20
exp4,person_121,32.5,4.6,4.4414125,20
exp4,person_121,40.0,4.666666666666667,4.6679125,20
exp4,person_125,12.5,3.444444444444444,3.8918875,20
exp4,person_125,22.5,4.055555555555555,4.315825,20
exp4,person_125,32.5,4.533333333333333,4.485049999999999,20
exp4,person_125,40.0,5.0,4.7288875,20
exp4,person_126,12.5,3.5789473684210527,3.851425,20
exp4,person_126,22.5,3.8333333333333335,4.2126624999999995,20
exp4,person_126,32.5,4.105263157894737,4.4069125,20
exp4,person_126,40.0,4.166666666666667,4.6558375,20
exp4,person_128,12.5,2.0,3.875075,20
exp4,person_128,22.5,2.1,4.245749999999999,20
exp4,person_128,32.5,2.0454545454545454,4.3954875,20
exp4,person_128,40.0,2.0,4.6435375,20
