lambda,slope_k,slope_num,ARI,k_mean
0.0,0.015567147720078762,0.280857838801946,0.441784482691628,3.296307536671725
0.1,0.13703085100974563,0.07465318352900453,0.3988862360347016,4.6189175518462315
0.15,0.13757501394644753,0.08018833641757817,0.3749408591604613,4.8102175012645425
0.2,0.18193504912270234,0.04554991231542923,0.3716617779159079,5.1241274658573595
0.3,0.1962039988952171,0.03732431769597177,0.3736822825897049,5.3318158826504805
0.5,0.19173741057002383,0.04165085938647401,0.37065596011950747,5.425897824987355
1.0,0.22410876200461502,0.0207689089383039,0.3546596421467127,5.5479008598887205
2.0,0.1648815371311896,0.09101687752374898,0.36323829683374925,4.993727870510875
4.0,0.16682419732057463,0.0744541138048714,0.3632445606555276,5.27071320182094
